bag,relative_sec,level,message
25july.bag,31.757059961,30,"Rejected frontier (10.99, 15.91): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,31.758099124,30,"Rejected frontier (11.14, 16.31): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.759175488,30,"Rejected frontier (4.59, 16.11): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,31.76113794,30,"Rejected frontier (10.94, 16.51): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.761724731,30,"Rejected frontier (11.14, 16.96): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.76471316,30,"Rejected frontier (10.94, 17.16): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.766359773,30,"Rejected frontier (10.94, 17.56): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.767000258,30,"Rejected frontier (10.84, 17.76): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.767766434,30,"Rejected frontier (10.89, 18.11): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.771926682,30,"Rejected frontier (4.74, 18.11): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.773060196,30,"Rejected frontier (4.84, 18.26): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.773788179,30,"Rejected frontier (3.99, 18.31): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.774326597,30,"Rejected frontier (3.94, 18.36): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.777573854,30,"Rejected frontier (2.99, 19.51): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.778006057,30,"Rejected frontier (2.99, 19.56): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.778494509,30,"Rejected frontier (2.99, 19.66): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.779025442,30,"Rejected frontier (3.04, 19.81): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.779418129,30,"Rejected frontier (3.04, 19.86): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.779877374,30,"Rejected frontier (3.04, 19.96): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,31.78026465,30,"Rejected frontier (2.94, 19.56): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,31.780744525,30,"Rejected frontier (2.89, 19.66): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.782081371,30,"Rejected frontier (-1.11, 20.31): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.782586635,30,"Rejected frontier (2.69, 19.86): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.783390404,30,"Rejected frontier (2.59, 20.01): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.783957767,30,"Rejected frontier (2.49, 20.06): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.784809388,30,"Rejected frontier (2.44, 20.16): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.895282575,30,"Rejected frontier (1.64, 23.76): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,31.976471102,30,"Rejected frontier (1.69, 22.31): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,32.028819122,30,"Rejected frontier (1.84, 22.01): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,32.129481628,30,"Rejected frontier (1.54, 20.21): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=10, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=291)."
25july.bag,32.648762209,30,"Rejected frontier (-0.31, 19.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,32.698362324,30,"Rejected frontier (-1.11, 20.26): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,32.753415266,30,"Rejected frontier (-1.26, 20.21): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,32.81666825,30,"Rejected frontier (0.59, 18.36): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=33, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=268)."
25july.bag,32.915620056,30,"Rejected frontier (0.44, 18.36): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=68, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=233)."
25july.bag,32.989798801,30,"Rejected frontier (-1.06, 19.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,33.04375689,30,"Rejected frontier (-0.26, 18.86): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,33.101291682,30,"Rejected frontier (-1.56, 20.06): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,33.154006445,30,"Rejected frontier (-0.56, 18.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,33.211332034,30,"Rejected frontier (-1.31, 19.36): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,33.456358589,30,"Rejected frontier (-1.26, 18.76): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
